0	 zˈiəɹəʊ
0th	 zˈiəɹəʊθ
1	 wˈɒn
1st	 fˈɜːst
1th	 fˈɜːθ
2	 tˈuː
2nd	 sˈɛkənd
2th	 sˈɛkθ
3	 θɹˈiː
3rd	 θˈɜːd
3th	 θˈɜːθ
4	 fˈɔː
4th	 fˈɔːθ
5	 fˈaɪv
5th	 fˈɪfθ
6	 sˈɪks
6th	 sˈɪksθ
7	 sˈɛvən
7th	 sˈɛvənθ
8	 ˈeɪt
8th	 ˈeɪtθ
9	 nˈaɪn
9th	 nˈaɪnθ
A	 ˈeɪ
As	 az
A's	 ˈeɪz
AA	 ˈɑː
AA's	 ˈɑːz
AAA	 ˌeɪˌeɪˈeɪ
AB	 ˈab
AB's	 ˈabz
ABA	 ɐbˈa
ABC	 ˌeɪbˌiːsˈiː
ABCs	 ˌeɪbˌiːsˈiː
ABC's	 ˌeɪbˌiːsˈiː
ABM	 ˈabəm
ABMs	 ˈabəmz
ABM's	 ˈabəmz
ABS	 ˈabz
AC	 ˌeɪsˈiː
AC's	 ˌeɪsˈiː
ACLU	 ɐklˈuː
ACLU's	 ɐklˈuːz
ACT	 ˈakt
ACTH	 ˈakθ
ACTH's	 ˈakθɪz
AD	 ˈad
AD's	 ˈadz
ADC	 ˈadk
ADD	 ˈad
ADM	 ˈadəm
ADP	 ˈadp
ADP's	 ˈadpz
AF	 ˈaf
AFAIK	 ɐfˈeɪk
AFB	 ˈafb
AFC	 ˈafk
AFC's	 ˈafkz
AFDC	 ˈafdk
AFN	 ˈafən
AFT	 ˈaft
AI	 ˌeɪˈaɪ
AIs	 ˌeɪˈaɪ
AI's	 ˌeɪˈaɪ
AIDS	 ˈeɪdz
AIDS's	 ˈeɪdzɪz
AK	 ˈak
AL	 ˈal
AM	 am
AM's	 amz
AMA	 ˈɑːmə
AMD	 ˌeɪˌɛmdˈiː
AMD's	 ˌeɪˌɛmdˈiː
ANSI	 ˈansi
ANSIs	 ˈansiz
ANZUS	 ˈanzəs
ANZUS's	 ˈanzəsˌɪz
AOL	 ˌeɪˌəʊˈɛl
AOL's	 ˌeɪˌəʊˈɛl
AP	 ˈap
AP's	 ˈapz
APB	 ˈapb
APC	 ˈapk
API	 ˌeɪpˌiːˈaɪ
APO	 ɐpˈəʊ
APR	 ˈapɹə
AR	 ˈɑː
ARC	 ˈɑːk
ASAP	 ˌeɪˌɛsˌeɪpˈiː
ASCII	 ˈaskɪ
ASCIIs	 ˈaskɪz
ASCII's	 ˈaskɪz
ASL	 ˈasəl
ASL's	 ˈasəlz
ASPCA	 ɐspkˈa
ATM	 ˌeɪtˌiːˈɛm
ATM's	 ˌeɪtˌiːˈɛm
ATP	 ˈatp
ATP's	 ˈatpz
ATV	 ˈatiːvˌiː
